benchmark,family,result
mbo_E6,20161105-Sturm-MBO,unsat
mbo_E7E10,20161105-Sturm-MBO,timeout
mbo_E7E11,20161105-Sturm-MBO,unsat
mbo_E7E12,20161105-Sturm-MBO,unsat
mbo_E7E13,20161105-Sturm-MBO,unsat
mbo_E7E14,20161105-Sturm-MBO,timeout
mbo_E7E15,20161105-Sturm-MBO,unsat
mbo_E7E16,20161105-Sturm-MBO,unsat
mbo_E7E17,20161105-Sturm-MBO,unsat
mbo_E7E18,20161105-Sturm-MBO,timeout
mbo_E7E19,20161105-Sturm-MBO,unsat
mbo_E7E20,20161105-Sturm-MBO,unsat
mbo_E7E21,20161105-Sturm-MBO,unsat
mbo_E7E22,20161105-Sturm-MBO,unsat
mbo_E7E23,20161105-Sturm-MBO,unsat
mbo_E7E24,20161105-Sturm-MBO,unsat
mbo_E7E25,20161105-Sturm-MBO,unsat
mbo_E7E26,20161105-Sturm-MBO,unsat
mbo_E7E27,20161105-Sturm-MBO,unsat
mbo_E7E28,20161105-Sturm-MBO,unsat
mbo_E7E8,20161105-Sturm-MBO,unsat
mbo_E7E9,20161105-Sturm-MBO,unsat
mbo_E7,20161105-Sturm-MBO,unsat
mbo_E8E10,20161105-Sturm-MBO,timeout
mbo_E8E11,20161105-Sturm-MBO,unsat
mbo_E8E12,20161105-Sturm-MBO,unsat
mbo_E8E13,20161105-Sturm-MBO,unsat
mbo_E8E14,20161105-Sturm-MBO,timeout
mbo_E8E15,20161105-Sturm-MBO,unsat
mbo_E8E16,20161105-Sturm-MBO,timeout
mbo_E8E17,20161105-Sturm-MBO,timeout
mbo_E8E18,20161105-Sturm-MBO,unsat
mbo_E8E19,20161105-Sturm-MBO,unsat
mbo_E8E20,20161105-Sturm-MBO,timeout
mbo_E8E21,20161105-Sturm-MBO,timeout
mbo_E8E22,20161105-Sturm-MBO,unsat
mbo_E8E23,20161105-Sturm-MBO,unsat
mbo_E8E24,20161105-Sturm-MBO,unsat
mbo_E8E25,20161105-Sturm-MBO,unsat
mbo_E8E26,20161105-Sturm-MBO,unsat
mbo_E8E27,20161105-Sturm-MBO,unsat
mbo_E8E28,20161105-Sturm-MBO,unsat
mbo_E8E9,20161105-Sturm-MBO,timeout
mbo_E8,20161105-Sturm-MBO,unsat
mbo_E9E10,20161105-Sturm-MBO,unsat
mbo_E9E11,20161105-Sturm-MBO,unsat
mbo_E9E12,20161105-Sturm-MBO,unsat
mbo_E9E13,20161105-Sturm-MBO,unsat
mbo_E9E14,20161105-Sturm-MBO,timeout
mbo_E9E15,20161105-Sturm-MBO,unsat
mbo_E9E16,20161105-Sturm-MBO,unsat
mbo_E9E17,20161105-Sturm-MBO,unsat
mbo_E9E18,20161105-Sturm-MBO,timeout
mbo_E9E19,20161105-Sturm-MBO,timeout
mbo_E9E20,20161105-Sturm-MBO,unsat
mbo_E9E21,20161105-Sturm-MBO,unsat
mbo_E9E22,20161105-Sturm-MBO,timeout
mbo_E9E23,20161105-Sturm-MBO,unsat
mbo_E9E24,20161105-Sturm-MBO,timeout
mbo_E9E25,20161105-Sturm-MBO,timeout
mbo_E9E26,20161105-Sturm-MBO,unsat
mbo_E9E27,20161105-Sturm-MBO,unsat
mbo_E9E28,20161105-Sturm-MBO,unsat
mbo_E9,20161105-Sturm-MBO,unsat
mgc_02,20161105-Sturm-MGC,timeout
mgc_03,20161105-Sturm-MGC,timeout
mgc_04,20161105-Sturm-MGC,timeout
mgc_05,20161105-Sturm-MGC,timeout
mgc_06,20161105-Sturm-MGC,timeout
mgc_07,20161105-Sturm-MGC,timeout
mgc_08,20161105-Sturm-MGC,timeout
mgc_09,20161105-Sturm-MGC,timeout
mgc_10,20161105-Sturm-MGC,timeout
afnp2014.c.i_3_5_3.bpl_5,20170501-Heizmann-UltimateInvariantSynthesis,timeout
array1.i_3_2_2.bpl_9,20170501-Heizmann-UltimateInvariantSynthesis,timeout
array_monotonic.i_3_2_2.bpl_9,20170501-Heizmann-UltimateInvariantSynthesis,timeout
